inputname;organisasjonsnummer;korreksjon
HAALAND KLIMA AS;986897526;
HABI AS;967866210;
HADELAND STÅL OG GIPSMONTASJE;;
HADELAND STÅL OG GIPSMONTASJE AS;990102600;
HÆHRE GULVSTØP AS;986420045;
HÆRE GULVSTØP AS;;
HAGA OG BERG ENTREPENØR AS;;
HÅKANES MASKIN;936727425;
HAKON@ROGNSTADNO;;
HAMMERSTAD MASKIN AS;980404730;
HANNEVOLD RIV OG RENSK AS;;
HANSEN SVEIS OG MONTERING;;
HARALD KROGSÆTER AS;913612167;
HAUG OG BLOM-BAKKE AS;;
HEDMARK ELEMENTMONTASJE;;
HEDMARK FYLKESKOMMUNE;;
HEGNA TRANSPORT;;
HEISPLAN AS;992431113;
HELLEVIK VVS;;
HERMES MARINE SERVICE;;
HERREGÅRDSMUR AS;994251856;
HESSELBERG TAK;;
HGV SYSTEMER AS;912064913;
HILTULA AS;977165636;
HNH ISOLERING AS;899151542;
HOEL ELEKTRO AS;930884820;
HOFF SNEKKERVERKSTED AS;976324455;
HORNEBERG BYGG AS;987668059;
HØYER FINSETH AS;;
HØYLAND OG TVEIT;;
HRTB ARKITEKTER AS;;
HSG;;
HSS TRANSPORT;;
HTH KJØKKENFORUM AS INNLANDET;;
HUBRO;990735328;
HULLEBERG & BØ AS;;
HUMLEKJÆR&ØDEGAARD A/S;;
HUNVIK;;
HURUM RØR AS;886606672;
HUVID;;
IA MONTASJE;;
ICOPAL;996675211;
ICOPAL TAK AS;;
IDEMA AS;937757875;
IKEA;914787521;
IKKE ANGITT;;
IMPLENIA MILJØ AS;;
IMPLENIA NORGE AS;980332977;
INDUSTRI GULV AS;;
INDUSTRIGULV;914766745;
ING IVAR PETTERSEN;;
ING Ø PEDERSEN AS;;
ING OG MURMESTER LARS AARUM AS;;
INGENIØR HABBERSTAD AS;959192286;
INGENIØRFIRMAET BIG AS;;
INNHAUS;;
INSTALLATØREN FREDRIKSTAD;;
INTERIØRDESIGN AS;957950183;
INTRIØRFAGHUSET T LUND AS;;
IPOA AS;996580792;
ISACHSEN ANLEGG AS;970999507;
ISACHSEN ENTREPRENØR AS;;
ISOLERINGSFIRMAET ACTIV NORD AS;982055776;
ISOTEK BYGG AS;;
ISOTEKS BYGG AS;923061223;
ISOTEKS MILJØ AS;972106283;
IVAR BRÅTHEN MEKANISKE AS;971971770;
IVAR S MOE;;
JÆRMESTER;;
JELDWEN AS;;
JESSHEIM STORSENTER;;
JOBZONE AS;980714535;
JOHN GALTEN AS;971692243;
JOMEK SVEIS;;
JØRGEN KARSTENSEN AS;976383559;
JØRGEN KASTENSEN A/S;;
JOTNE ANKERS AS;971621346;
JOTUN;;
KAARE MORTENSEN BUSKERUD AS;993417270;
KAYS;;
KELLER GRUNDLEGGNING;;
KEY WEST;;
KILAB AS;912195759;
KINNARPS;;
KJÆRNSMO AS;942533071;
KJELL ARNE SCHJØRN AS;972125377;
KJELL NORDHAGEN AS;945636718;
KJELL TRANDEM AS;;
KLP;;
KLUBBEN AS;913716647;
KNUT BJERKE AS;910611879;
KNUT MALMBERG AS;935504317;
KNUT SØBY AS;934315359;
KOAN KRAN AS CO/ANDERS NILSEN;;
KODUMAJA;;
KOLONIAL;;
KOLSTAD BETONGPUMPING AS;874349992;
KOMPLETT ELEKTRO AS;984204116;
KOMPLETT MONTASJE AS;997978234;
KONE AS;;
KONGSBERG ENTREPRENØR AS;987757132;
KONTUR AS;;
KRANFØRER AS;911682605;
KRANOR AS;976313062;
KRANPROFFEN AS;917367620;
KRANRINGEN;;
KRISTIANSUND KOMMUNE;991891919;
KROGSETH AS;961512506;
KVIKK FLISPROSJEKT AS;889452242;
KYNNINGSRUD FUNDAMENTERING;;
KYNNINGSRUD PREFAB AS;982743389;
LAGÅSEN BOLIG AS;915503683;
LANGHEIANE UTVIKLING AS;922053782;
LANGSHOLT GLASSERVICE;;
LAPWALL;;
LAPWALL OY;920362826;
LARS HØYEM AS;942290616;
LÅS OG SIKRING AS;;
LASSE HOLST;;
LÅSSENTERET AS;913143159;
LBU AS;916128983;
LEFDAL INSTALLASJON AS;968545337;
LEIKVOLL;;
LEITNER  VOSS GONDOL;;
LETT-TAK SYSTEMER AS;971955295;
LIAN TREVAREFABRIKK AS;959675724;
LIBRA PLAST AS;;
LIE BLIKK AS;988976849;
LIFT-TEK;;
LILLEHAMMER VENTILASJON AS;958077289;
LILLELAND AS;893112812;
LINDAL ENTREPRENØR;;
LINDAL TREINDUSTRI;;
LINDSTAD BYGG AS;851314032;
LINKARK;;
LISLEBY FLYTTEBYRÅ;;
LOE BETONGELEMENTER AS;951194913;
LOE ELEMENTMONTASJE;;
LØNNHEIM STÅL AS;;
LØTEN MALERVEKSTED AS;;
LØYPE ANLEGGSDRIFT AS;933283607;
LUFTTEKNIKK;;
LUNEX;;
LYDGULVSYSTEMER AS;982224489;
LYS & VARME;;
LYSE;;
M CARLSEN & SØNN;;
MA TOTALBYGG;;
MAGNE SVEEN AS;860318822;
MAGNUSSON AS;990473668;
MALCO;;
MALER MESTER UTGÅR;;
MALERMESTER BUER AS;819391122;
MALERMESTER BUER DRAMMEN AS;989959581;
MALERMESTER MORTEN SKANCKE AS;;
MALERMESTER RUNE TOFTNER AS;887479682;
MALERMESTER URDAL;;
MALERMESTRENE AS;892820422;
MALERMESTRENE INDRE ØSTLAND AS;967607568;
MALMERK;;
MALVIK KOMMUNE;971035560;
MARINE CONSTRUCTION AS;;
MARTHINSEN & DUVHOLT AS;880420852;
MARTIN M BAKKEN AS;910401017;
MARTINSEN GULVAVRETTING AS;984369980;
MARVIK;898037142;
MASKINSTYRING AS;919720441;
MASSIVTRE AS;916602197;
MAXBO;;
MB STILLASE;;
MEDBYE AS;;
MELBY RENHOLD OG VAKTMESTERTJENESTER AS;920672949;
MESTERBLIKK;;
MESTERBYGG SØR;;
METIER OEC AS;917807590;
MIMAX ASFALT & BETONG AS;964618178;
MIMAX ASFALT OG BETONG AS;;
MJØNDALEN MUR OG PUSS AS;972073849;
MJØS-PRODUKTER AS;918668861;
MJØSEN MURMESTERFORRETNING AS;983528597;
MØBEL LEVERANSE;;
MODULVEGGER;;
MOE AS RÅDGIVENDE INGENIØR;;
MOELVEN;;
MOELVEN LIMTRE;;
MOELVEN MODUS;;
MOELVEN NORDIA;;
MOSS GLASS OG FASADE;;
MOSS GLASS OG FASADE AS;987415517;
MOTEK;;
MULTI MARINE AS;984098901;
MULTICONSULT AS;;
MUNCK CRANES AS;984030126;
MURMESTER MYHRE AS;971803991;
MURMESTER ROLF HOLM;;
MURPARTNEREN AS;;
MYHRE ELEKTRO AS;860648342;
MYLIFT AS;919573856;
NABOEN;;
NÆVDAL BYGG AS;;
NASSAU NORGE AS;;
NATURSTEIN MONTERING AS;912550648;
NBYGG AS;915564577;
NCC;;
NERDRUMS OPPMÅLING AS;;
NERLIGRUPPEN;;
NETTSERVICE HADELAND AS;984270712;
NHD A/S;;
NIDAROS OPPMÅLING;;
NILS LØFF AS;971840544;
NK FLIS;;
NOBI AS;933896412;
NODE;;
NOKAS;;
NOR CONSTRUCTION;;
NORBETONG;;
NORCONSULT AS;962392687;
NORDAN;;
NORDBY MASKIN;;
NORDENGEN AS;931561537;
NORDIC CRANE AS;;
NORDIC DOOR;;
NORDISK FUNDAMENTERING AS;;
NORDSTRAND IDRETTSFORENING AS;;
NOREMA KJØKKEN AS;;
NORFO;;
NORGESVINDUET BJØRLO AS;910646168;
NORSK GJENNVINING;;
NORSK SANERINGSSERVICE;;
NORSK STÅL AS;959493715;
NORSK TEKNISK INSTALLASJON;;
NORSK TERRAZZOPRODUKSJON;;
NORSKE BÆRESYSTEMER AS;996808548;
NORSKE METALLFASADER AS;876933322;
NORTEKK AS;963772459;
NOVAFORM STAVANGER;;
NOVETA;;
NRA ØST AS;999094368;
NRSAS;;
NTI;;
NYHUSET BRUK AS;914846846;
ODD HAGERUD AS;971698659;
ODDMUND GROVEN AS;823650442;
ØIAN & SCHIE FUGING AS;;
OLAF B TERJESEN;;
OLAF HELGE ASK ELEKTRO AS;;
OLAR PORTCONSULT AS;;
OMA AS;;
ONECO AS;996324826;
ONSØY RØRLEGGERBEDRIFT;;
OPAK AS;960816862;
OPPLAND MUR & FLIS AS;;
OPPLANDSKE BETONGINDUSTRIER AS;;
OPTIMERA AS;967013056;
OPTIMERA LÅS & SIKRING AS;;
ORAS;;
ORION PROSJEKT;;
ØRLAND TRANSPORT;;
ORONA NORWAY AS;984176503;
OSLO BRANNSIKRING;;
OSLO BYGGINNREDNING AS;998296323;
OSLO EPOXYBELEGG AS;820701372;
OSLO OPPMÅLING AS;923730796;
OSLO RIVETEKNIKK AS;922375712;
OSLO TAPET OG GULVBELEGG;;
ØST-RIV AS;987544775;
ØSTFOLD ENØK & VENTILASJON AS;;
ØSTLANDSKE FASADETEKNIKK AS;962202292;
ØSTLANDSKE RENGJØRING;;
ØSTLANDSKE RENGJØRING AS;;
OTIS AS;919419105;
OTTAR AUGDAL AS;938524831;
ØYSAND STÅL;;
PARK & ANLEGG AS;982382955;
PARKETTMONTERING RØNNKØ;;
PARKETTPARTNER AS;977533708;
PART AB;;
PAUL BERG AS;971664061;
PEC;;
PEIKKO;;
PERI;;
PERI NORGE AS;959514798;
PETTER A OLSEN;;
PILLAR STILAS;;
PKS INDUSTRI AS;965625771;
PLAN 1;;
PLANFORUM ARKITEKTER;;
POL BETONG AS;996467775;
PRO-CONSULT AS;913756290;
PROBAD;;
PROBYGG;983343473;
PROCESSING AS;;
PROCLEAN AS;937420064;
PROCON;;
PROCONSULT;972635960;
PROFFBYGG;;
PROFIL BYGG AS;918187766;
PROFILCO AS;913780671;
PROFILTEAM AS;938184275;
PROGLASS AS;915850014;
PROLANDSKAP;;
PROMACON;;
PROREF AS;862318862;
PRORIV AS;890422802;
PROSJEKT HÅNDVERK AS;975779165;
PROSJEKTIL;;
PROTAN BYGG & TAK;;
PROTAN ENTREPRENØR AS;983386393;
PROTAN TAK AS;;
PULS ARKITEKTER;;
R DAALAND AS;;
R3 ENTREPRENØR AS;971170824;
RÅDE GRAVE SERVICE AS;;
